KEY,EN,GE
KEY_DOWNLOAD,"Download","გადმოწერა"
KEY_RESET,"Reset","წაშლა"
KEY_ADVANCED,"Advanced","დამატებითი"
KEY_ENTER_LINK,"Enter Youtube Link:","ჩაწერეთ Youtube ლინკი:"
KEY_LANG,"Language:","ენა:"
KEY_API_USE,"I am using these APIs","მე ვიყენებ ამ API-ებს"
KEY_API_USE2,"You can get your own API key there and enter below.","თქვენ შეგიძლიათ მიიღოთ თქვენი API Key და ჩაწეროთ ქვემოთ"
KEY_API_USE3,"Your API Key","თქვენი API Key"
KEY_SEARCH,"Search","ძებნა"
KEY_SEARCH_TERM,"Please enter a search term","გთხოვთ, ჩაწეროთ საძიებო სიტყვა"
KEY_LINK_TERM,"Please enter a link","გთხოვთ, ჩაწეროთ ლინკი"
KEY_LINK_VALID,"Please enter a valid link","გთხოვთ, ჩაწეროთ სწორი ლინკი"
KEY_API_VALID,"Please enter a valid API Key","გთხოვთ, ჩაწეროთ სწორი API Key"
KEY_API_MAX,"Max API calls reached. Please try again later","მაქსიმალური API Calls. მოგვიანებით სცადეთ."
KEY_GETTING_INFO,"Getting video info...<br>","ვიდეოს ინფორმაციის მიღება...<br>"
KEY_DOWNLOADING,"<br>Downloading...<br>","იტვირთება...<br>"